Disease,NaN_Count,NaN_Proportion
757,52868,0.45723675675675673
767,52868,0.45723675675675673
777,52893,0.457452972972973
796,56669,0.49011027027027027
806,52868,0.45723675675675673
816,52868,0.45723675675675673
826,52868,0.45723675675675673
845,29809,0.25780756756756756
874,4532,0.039195675675675674
894,19525,0.16886486486486488
914,47303,0.409107027027027
924,477,0.004125405405405406
943,477,0.004125405405405406
971,33049,0.2858291891891892
981,33049,0.2858291891891892
991,104506,0.9038356756756757
1001,104506,0.9038356756756757
1011,55883,0.48331243243243244
1021,55883,0.48331243243243244
1050,0,0.0
1060,0,0.0
1070,0,0.0
1080,0,0.0
1090,0,0.0
1448,3241,0.02803027027027027
1468,17806,0.15399783783783783
1568,34108,0.2949881081081081
1578,34108,0.2949881081081081
1588,34108,0.2949881081081081
1598,34108,0.2949881081081081
1608,34108,0.2949881081081081
2267,1,8.64864864864865e-06
2277,1,8.64864864864865e-06
2395,64441,0.5573275675675675
2624,65436,0.565932972972973
2634,65436,0.565932972972973
2664,63620,0.5502270270270271
3426,104491,0.903705945945946
3637,60452,0.5228281081081081
3647,60452,0.5228281081081081
3859,111328,0.9628367567567567
4407,105877,0.9156929729729729
4418,105877,0.9156929729729729
4429,105877,0.9156929729729729
4440,105877,0.9156929729729729
4451,105877,0.9156929729729729
4462,105877,0.9156929729729729
5364,86045,0.744172972972973
6143,56669,0.49011027027027027
20117,0,0.0
